Gene_ID,Name,s_frt82b_1,s_frt82b_2,s_frt82b_3,s_wda_1,s_wda_2,s_wda_3
FBgn0031117,GstT3,41.14,40.23,41.41,51.61,55.14,48.68
FBgn0031118,RhoGAP19D,6.84,7.62,8.31,10.42,11.17,8.56
FBgn0031119,CG1812,26.71,25.77,28.24,16.06,16.68,14.67
FBgn0031126,Cyp6v1,81.63,76.57,86.9,20.7,22.42,22.05
FBgn0031127,CG1835,2.81,3.59,3.45,0.77,0.79,0.41
FBgn0031128,hydra,0,0.02,0,0,0,0.22
FBgn0031129,CG1324,0,0,0,0,0,0.04
FBgn0031130,CG15452,0,0,0,0,0,0
FBgn0031132,CG15450,0,0,0,0,0,0
FBgn0031134,CG1314,0,0,0,0,0,0.06
FBgn0031135,CR11235,0,0,0,0,0,0
FBgn0031139,CG11227,0,0,0,0,0,0
FBgn0031141,CG1304,0,0,0,0.05,0,0
FBgn0031142,r-cup,0.08,0.13,0.02,0.13,0.2,0.27
FBgn0031143,CG1532,132.08,124.57,130.28,91.39,76.34,86.01
FBgn0031144,CG1529,27.06,26.53,29.13,17.09,19.89,18.93
FBgn0031145,Ntf-2,406.87,390.76,432.13,329.09,355.22,350.4
FBgn0031146,CG15449,0,0.13,0.13,0.87,1.01,0.78
FBgn0031148,Cbs,157.55,149.82,150.08,62.38,74.2,81.65
FBgn0031149,Stt3A,161.92,158.33,165.65,106.32,113.13,105.24
FBgn0031150,bves,20.58,19.38,24.59,18.69,18.1,17.18
FBgn0031155,CG15446,0,0.03,0,0.11,0.05,0.07
FBgn0031157,CG1503,8.1,7.98,8.88,3.86,6.98,7.48
FBgn0031159,CG11566,0.05,0.09,0.1,0.07,0.07,0.08
FBgn0031161,CG15445,32.36,30.15,34.23,42.58,46.99,43.8
FBgn0031163,CG14579,0,0,0,0,0,0
FBgn0031164,CG1724,0,0,0,0,0,0
FBgn0031168,CG1722,0,0.03,0,0,0,0.04
FBgn0031169,CG1494,0.09,0.08,0.08,0.35,0.36,0.42
FBgn0031170,ABCA,5.61,5.47,6.18,13.15,11.73,11.75
FBgn0031171,CG1801,0.02,0.01,0.03,0.57,0.64,0.57
FBgn0031174,CG1486,25.63,26.95,28.66,23.97,26.07,21.83
FBgn0031176,whe,0,0,0,0.13,0,0
FBgn0031178,CG10918,0,0,0,0,0,0
FBgn0031181,Ir20a,0.05,0.02,0.11,0.05,0.02,0.03
FBgn0031182,Cyp6t1,10.64,10.84,10.62,2.26,2.54,4.08
FBgn0031183,CG14621,36.99,34.27,41.48,23.27,24.31,22.36
FBgn0031184,CG14615,6.08,5.7,6.94,5.44,4.11,4.73
FBgn0031187,Usp2,30.85,30.75,36.88,23.18,22.25,21.79
FBgn0031188,CG14613,60.07,58.58,63.62,32.87,39.17,38.83
FBgn0031189,CG14618,29.19,26.3,32.35,22.56,26.44,22.67
FBgn0031190,CG12576,58.33,55.7,63.06,63.82,62.13,54.04
FBgn0031191,Cp110,23.93,24.79,25.65,6.9,7.18,8.71
FBgn0031194,CG17598,34.18,32.83,36.12,29.61,31.84,27.03
FBgn0031195,CG17600,28.63,30.35,29.68,20.73,23.23,23.08
FBgn0031196,CG17599,0,0.07,0.08,0,0.06,0
FBgn0031197,CG17601,0,0,0,0,0,0.05
FBgn0031201,CG12446,0.05,0.03,0.05,0,0.04,0.02
FBgn0031208,CG11023,0.05,0.08,0.16,0.03,0.02,0
FBgn0031209,Ir21a,0,0,0.02,0.1,0.11,0.05
FBgn0031213,galectin,99.33,85.51,105.3,112.89,94.66,91.03
FBgn0031214,CG11374,0.06,0.05,0.1,0.23,0.12,0.1
FBgn0031216,Zir,15.28,16.28,16.93,27.46,27.32,21.63
FBgn0031217,CG11377,69.04,66.85,72.91,32.48,35.51,28.49
FBgn0031219,CG13694,0.04,0.11,0.04,0.34,0.16,0.34
FBgn0031220,CG4822,8.13,7.04,7.5,68.24,49.84,43.01
FBgn0031224,CG11454,55.29,57.05,61.77,40.14,40.73,42.85
FBgn0031227,CG3709,39.49,36.17,42.69,29.26,30.03,30.28
FBgn0031228,ND-15,260.63,241.47,243.1,357.82,325.28,331.02
FBgn0031229,CG3436,106.33,96.39,101.05,78.78,81.83,68.34
FBgn0031231,mRpL10,100.79,97.93,94.57,54.9,60.59,57.23
FBgn0031232,CG11617,0.07,0,0,1.18,0.52,0.45
FBgn0031233,Tbc1d15-17,42.76,42.08,44.12,23.38,24.73,23.27
FBgn0031235,CG13693,0,0,0,0,0.02,0
FBgn0031238,CG3645,23.32,23.3,24.12,23.99,30.12,26.34
FBgn0031239,CG17075,0.04,0.08,0.1,0.24,0.23,0.28
FBgn0031240,CG3345,0,0,0,0.04,0.07,0.04
FBgn0031244,CG11601,31.29,30.34,28.81,43.17,36.82,44.61
FBgn0031245,CG3625,7.69,8.59,7.9,55.27,42.74,47.34
FBgn0031247,CG11562,67.79,67.54,66.36,49.17,52.33,58.08
FBgn0031248,CG11912,0,0,0,0,0,0.05
FBgn0031249,CG11911,0,0.03,0,0,0,0.37
FBgn0031250,Ent1,40.86,39.35,42.58,92.26,81.58,73.76
FBgn0031251,CG4213,0.08,0.09,0.12,3.25,1.96,2.09
FBgn0031252,CG13690,94.69,83.16,87.09,28.83,29.06,27.56
FBgn0031253,CG11885,69.73,62.91,58.78,71.61,70.51,71.81
FBgn0031254,CG13692,0.2,0.15,0.15,1.23,0.77,0.98
FBgn0031255,BBS8,0.02,0.03,0,0.1,0.03,0.08
FBgn0031256,shv,107.46,99.38,103.39,76.25,70.57,68.81
FBgn0031257,CG4133,0.1,0.11,0.06,0.05,0.06,0.12
FBgn0031258,CG4297,2.35,2.26,2.13,2.85,2.79,2.5
FBgn0031260,Spp,121.42,123.29,130.79,90.64,101.73,84.04
FBgn0031261,nAChRbeta3,0.33,0.69,0.4,7.03,5.61,25.65
FBgn0031263,Tspo,159.67,166.54,154.99,221.14,194.9,238.49
FBgn0031264,CG11835,0.08,0.15,0.1,0.15,0.14,0.18
FBgn0031265,CG2794,25.24,25.02,26.59,35.75,42.37,41.68
FBgn0031266,Sf3b1,41.67,42.69,42.98,33.15,38.62,31.82
FBgn0031267,Ipk2,79.31,71.26,78.61,25.31,29.12,27.22
FBgn0031268,cold,73.5,67.51,73.93,67.79,49.88,58.97
FBgn0031270,CG13689,6.76,4.67,4.97,17.24,14.56,17.32
FBgn0031273,CG2839,0,0,0,0,0.01,0
FBgn0031275,GABA-B-R3,0.06,0.04,0.13,0.29,0.3,0.24
FBgn0031276,CG12506,0,0,0,0.11,0,0
FBgn0031277,CG13947,0,0,0,0,0,0
FBgn0031279,CG3544,0,0,0,0.02,0.02,0.02
FBgn0031281,Saf6,12.59,12.16,12.36,10.72,10.59,10.78
FBgn0031282,Pex12,11.54,11.08,11.94,17.69,15.95,16.24
FBgn0031283,CG15880,0,0,0,0,0,0
FBgn0031284,PGAP2,22.82,21.94,24.8,14.33,12.06,12.84
FBgn0031285,CG3662,222.68,223.2,225.84,762.79,696.92,513.93
FBgn0031286,CG3862,17.52,16.86,18.26,10.27,9.18,8.16
FBgn0031287,CG4291,22.25,22.97,23.97,20.34,20.68,19.88
FBgn0031288,CG13949,0.2,0.41,0,1.57,0.63,0.94
FBgn0031289,CG13950,0,0,0,0,0,0
FBgn0031292,CG15824,0,0,0,0.02,0.01,0.02
FBgn0031294,IA-2,0.06,0.06,0.04,0.09,0.1,0.13
FBgn0031295,CG4375,0,0,0,0,0.04,0.17
FBgn0031296,CG4415,0,0.05,0,2.77,3.49,2.63
FBgn0031298,Atg4a,36.81,35.13,37.87,33.91,33.1,28.11
FBgn0031299,CG4629,1.31,1.38,1.38,2.97,2.72,3.21
FBgn0031301,CG14339,0,0,0,0,0,0.01
FBgn0031302,CG14340,0,0,0,0,0.03,0.04
FBgn0031304,CG4552,24.2,26.09,27.58,17.4,19.81,17.43
FBgn0031305,Iris,18.99,18.82,17.78,39.15,43.72,37.78
FBgn0031306,CG4577,0.07,0.13,0.13,0.52,0.76,0.68
FBgn0031307,MFS3,0,0.05,0.05,2.05,1.42,1.86
FBgn0031309,Tfb4,43.61,42.33,42.99,19.56,22.32,20.25
FBgn0031310,Vps29,66.95,62.31,66.62,76.09,77.78,77.3
FBgn0031312,Tango14,68.26,75.95,67.56,35.99,39.48,39.92
FBgn0031313,CG5080,5.03,6.1,4.33,26.46,26.72,31.5
FBgn0031314,IntS14,36.23,34.32,33.3,16.55,19.45,16.86
FBgn0031315,CG14341,40.92,40.39,42.65,27.26,27.29,27.21
FBgn0031317,Charon,22.61,22.3,23.19,23.03,24.87,25.53
FBgn0031318,CG4887,24.88,26.01,28.06,17.78,19.6,17.15
FBgn0031319,CG4896,15.14,14.45,15.71,8.83,8.52,8
FBgn0031320,CG5126,42.18,39.22,40.61,23.51,26.1,24.25
FBgn0031321,Tgt,15.61,14.92,16.1,26.49,26.21,28.5
FBgn0031322,CG5001,3.78,3.84,3.44,18.66,13.36,16.38
FBgn0031323,CG5139,0,0,0,0,0,0
FBgn0031324,CG14342,0.05,0.08,0.12,0.06,0,0.06
FBgn0031327,CG5397,1.22,1.21,1.04,43.16,32.57,36.04
FBgn0031331,CG5440,0,0,0,0,0,0.06
FBgn0031332,CG5556,0,0,0,0,0,0.04
FBgn0031333,CG5561,0,0,0,0.04,0,0.08
FBgn0031335,CG5565,0,0,0,0,0,0.05
FBgn0031337,CG14346,0.06,0.04,0,2.15,2.27,1.58
FBgn0031343,CG18131,0.35,0.95,1.13,1.13,1.12,1.27
FBgn0031344,CG7420,20.78,22.39,24.07,16.26,16.5,17.1
FBgn0031345,CG18132,0,0,0,0,0,0
FBgn0031347,CG10869,0.19,0.14,0.08,0.08,0.13,0.24
FBgn0031351,CG14352,29.16,27,28.61,10.04,8.2,10.07
FBgn0031356,CG17660,36.37,33.83,36.72,35.62,36.01,31.43
FBgn0031357,mRpL48,49.61,54.78,51,62.46,70.04,71.78
FBgn0031359,Rim2,17.1,17.76,19.28,19.19,17.9,16.06
FBgn0031360,CG31937,65.96,70.28,67.2,59.79,58.22,74.94
FBgn0031361,CG17652,33.57,30.98,32.96,40.56,37.51,34.74
FBgn0031364,CG17648,0,0,0,0,0.13,0
FBgn0031365,CG17650,0.67,0.94,0.57,5.15,5.67,6.38
FBgn0031367,c-cup,0,0,0,0.05,0.2,0.05
FBgn0031372,CG7295,0,0,0,0,0,0
FBgn0031373,CG15358,0,0,0,0.75,0.31,1.36
FBgn0031374,Wdr62,35.2,34.19,38.12,23.1,21.82,19.8
FBgn0031375,erm,0,0,0,0,0,0
FBgn0031377,CG15356,29.9,30.31,35.43,8.55,11.7,9.15
FBgn0031378,CG15362,27.97,29.05,25.47,13.77,9.95,15.8
FBgn0031379,CG7289,44.75,44.43,49.06,38.95,41.09,38.3
FBgn0031381,Npc2a,227.67,239.3,216.2,586.56,521.19,533.86
FBgn0031384,CG4238,40.26,39.37,43,18.05,19.05,18.69
FBgn0031388,CG12674,0,0,0,0.04,0,0.04
FBgn0031389,CG4259,0.04,0.03,0.15,4.11,2.67,3.21
FBgn0031390,tho2,43.88,47.66,46.56,25.41,28.4,22.41
FBgn0031391,CG11723,26.7,27.41,29.42,27.16,25.63,24.87
FBgn0031392,AIF,73.51,71.7,81.42,36.94,46.15,36.75
FBgn0031393,CG15382,0.53,0.55,0.79,1.76,1.72,1.87
FBgn0031395,CG10874,45.38,44.35,50.21,35.21,34.55,29.15
FBgn0031397,CG15385,1.18,0.84,1.18,3.53,2.84,3.04
FBgn0031398,CG10880,60.14,55.15,58.98,42.28,47.06,43.08
FBgn0031399,mio,13.62,13.73,15.56,17.05,20.31,16.7
FBgn0031401,papi,20.87,18.6,22.28,39.19,41.11,39.17
FBgn0031403,CG15387,64.48,56.22,57,33.44,33.77,30.42
FBgn0031406,Send1,0,0,0,0,52.03,0
FBgn0031407,CG4270,0,0,0,0,0,0
FBgn0031409,CG4271,0,0,0,0,0,0
FBgn0031410,CG17237,0,0,0,0,0,0.1
FBgn0031412,CG16995,5.09,4.82,6.72,10.81,6.43,9.21
FBgn0031413,CG9967,12.38,14.63,13.73,29.95,29.28,26.61
FBgn0031414,eys,0.01,0.01,0,0.21,0.26,0.17
FBgn0031417,CG3597,0.07,0.05,0.2,1.71,1.96,4.13
FBgn0031418,CG3609,121.67,129.53,127.59,141.93,147.71,137.03
FBgn0031419,CG15390,25.81,21.58,23.68,13.47,16.78,14.64
FBgn0031420,Atxn7,20.38,20.67,21.24,11.36,11.54,10.52
FBgn0031422,PIG-Wa,9.66,10.67,10.85,4.35,5.07,5.14
FBgn0031423,CG3557,0,0,0,0,0,0
FBgn0031424,VGlut,0,0,0,0,0,0
FBgn0031426,CG18641,0,0.02,0.03,0.18,0.13,0.22
FBgn0031428,CG9886,4.02,3.85,3.71,5.34,5.66,6.82
FBgn0031430,CG3528,0,0,0,0,0,0
FBgn0031431,CG3515,0,0,0,0,0,0
FBgn0031432,Cyp309a1,0.13,0.04,0,0.39,0.37,9.58
FBgn0031434,insv,53.44,50.56,61.21,9.61,11.11,10.87
FBgn0031435,Elba2,54.14,53.89,60.4,6.51,9.26,8.89
FBgn0031436,ND-B17.2,183.03,172.76,176.82,196.31,210.81,194.4
FBgn0031437,Arpc5,108.04,101.2,103.12,176.49,163.19,165.73
FBgn0031440,CG15395,0,0,0,0,0,0.04
FBgn0031441,CG9962,0,0,0,0,0,0
FBgn0031442,Prosbeta4R1,0,0,0,0,0,0.11
FBgn0031443,Prosbeta4R2,0,0,0,0.06,0,0
FBgn0031444,CG9879,0,0,0,0.04,0,0
FBgn0031446,CG15398,0,0.03,0,0.61,0.37,0.64
FBgn0031449,CG31689,70.54,63.12,74.41,53.53,49.06,48.95
FBgn0031450,Hrs,49.86,53.74,59.41,30.85,34.17,28.81
FBgn0031451,CG9961,0.24,0.37,0.3,0.58,0.41,0.5
FBgn0031452,Cwc25,72.35,65.11,82.06,20.46,21.07,17.8
FBgn0031453,Bacc,264.94,236.22,266.41,492.04,434.1,430.93
FBgn0031454,HemK2,15.11,14.6,14.78,12.16,11.59,13.09
FBgn0031455,Snapin,15.11,14.6,14.78,12.16,11.59,13.09
FBgn0031456,Tnpo-SR,9.75,10.11,10.24,8.27,10.29,8.44
FBgn0031457,CG3077,31.64,32.18,33.22,36.88,33.71,29.01
FBgn0031458,aph-1,53.37,52.61,56.39,49.79,49.3,38.84
FBgn0031459,CG2862,351.26,334.9,342.56,435.75,450.38,472.43
FBgn0031460,CG15399,0.05,0.08,0,0.17,0.37,0.33
FBgn0031461,daw,0.34,0.33,0.38,18.59,16.2,15.98
FBgn0031462,CG2964,0,0,0,0.05,0.02,0.09
FBgn0031463,G6P,0.07,0.05,0.12,0.08,0.03,0.11
FBgn0031465,CG3123,0.02,0.02,0.14,0.02,0.02,0.02
FBgn0031466,CG3119,0,0,0,0,0,0
FBgn0031467,Cpr23B,0,0.03,0,0,0,0
FBgn0031468,CG2975,0,0,0,0.12,0.12,0.05
FBgn0031469,CG18558,0,0,0,0.03,0.04,0
FBgn0031470,CG18557,0.12,0.03,0,0.7,0.65,1.26
FBgn0031471,CG3117,0,0.03,0.04,0.15,0,0.48
FBgn0031472,CG2983,0,0,0,0.04,0.05,0.14
FBgn0031473,CG3104,0.13,0.16,0.06,12.23,7.97,8.93
FBgn0031474,CG2991,22.07,21.43,25.14,23.93,19.3,19.84
FBgn0031476,CG8813,0,0.03,0.05,0,0,0
FBgn0031478,CG8814,47.52,49.42,56.69,51.49,48.26,37.83
FBgn0031479,Prx6005,53.08,56.16,53.14,70.42,66.65,71.89
FBgn0031483,CG9641,82.89,82.31,90.62,21.41,19.95,20
FBgn0031484,CG3165,40.44,37.47,43.44,31.25,30.62,31.68
FBgn0031485,CG9643,49.05,44.34,46.93,51.2,54.82,49.33
FBgn0031488,CG17265,2.92,3.48,2.91,5.61,6.89,6.4
FBgn0031489,CG17224,14.82,16.27,12,103.01,72.24,95.52
FBgn0031490,CG17264,0.4,0.66,0.5,4.39,3.68,6.6
FBgn0031491,alpha4GT1,48.74,46.08,52.96,27.9,26,29.08
FBgn0031492,CG3542,41.19,39.49,45.19,22.48,24.45,20.68
FBgn0031493,Sf3b2,78.87,76.1,83.3,47.12,57.13,45.94
FBgn0031494,CG17219,18.31,15.15,16.31,32.12,32.27,27.8
FBgn0031495,GABPI,34.55,33.13,32.73,32.53,32.91,30.62
FBgn0031496,CG17258,0.1,0.11,0.05,0.33,0.31,0.2
FBgn0031497,SerRS,204.6,198.21,194.59,145.27,161.24,154.19
FBgn0031498,CG17260,21.79,22.36,20.78,12.82,12.22,12.87
FBgn0031500,CG17221,20.34,20.65,21.18,18.03,19.69,20.36
FBgn0031501,CG17261,3.17,2.66,2.31,57.04,47.6,69.76
FBgn0031504,CG15403,0,0,0,0,0,0.05
FBgn0031505,ND-B14.5B,173.09,172.88,159.64,349.44,269.62,356.66
FBgn0031512,CG15404,0,0,0,0,0.09,0
FBgn0031513,CG3347,0.02,0.02,0.07,0,0,0
FBgn0031514,OtopLb,0,0.01,0,0.05,0,0.04
FBgn0031515,CG9664,0.18,0.12,0.29,1,0.92,1.23
FBgn0031516,CG9663,6.92,7.56,8.04,10.6,9.09,10.14
FBgn0031517,CG15406,0.13,0.38,0.49,1.26,0.06,0.46
FBgn0031518,CG3277,0.15,0.12,0.13,0.17,0.1,0.3
FBgn0031519,Fign,12.47,12.61,14.58,6.04,6.08,5.57
FBgn0031520,CG8837,0.07,0.07,0.1,0.17,0.11,0.1
FBgn0031522,CG3285,0.03,0.1,0.15,0.2,0,0.08
FBgn0031523,CG15408,0.05,0.3,0.46,0.29,0,0
FBgn0031526,CG8838,0.62,0.36,0.5,0.92,0.92,1.44
FBgn0031528,CG15412,0.22,0.17,0.28,2.53,1.72,2.48
FBgn0031529,CG9662,98.64,92.41,102.07,42.23,45.21,40.3
FBgn0031530,Pgant2,1.79,1.99,3.04,5.23,5.15,4.65
FBgn0031531,CG8840,0,0,0,0,0,0.07
FBgn0031533,CG2772,0.41,0.38,0.25,0.03,0.05,0.1
FBgn0031534,Snx1,66.65,63.27,69.93,134.74,116.39,114.71
FBgn0031535,CG12795,87.62,88.56,100.92,31.19,28.46,30.52
FBgn0031536,Cog3,18.79,19.46,21.97,11.04,11.94,11.74
FBgn0031538,CG3246,0.03,0.02,0.03,1.1,2.07,8.87
FBgn0031540,Pif1,34.56,34.37,36.33,20.52,19.95,19.6
FBgn0031542,CG15414,0.03,0.09,0.07,0,0.3,0.35
FBgn0031544,CG17593,163.18,155.66,162.55,102.64,102.53,95.9
FBgn0031545,CG3213,0.21,0.38,0.2,0.02,0.04,0.15
FBgn0031546,CG8851,0,0,0,0.02,0.01,0.02
FBgn0031547,Sr-CIV,0.06,0.05,0.03,0.2,0.05,0.03
FBgn0031548,CG8852,0.33,0.31,0.22,6.9,4.08,6.6
FBgn0031549,Spindly,42.67,37.64,44.22,10.18,12.06,9.79
FBgn0031550,IFT57,0,0,0,0,0,0
FBgn0031554,CG15418,23.82,18.33,24.52,0.41,0.44,0.18
FBgn0031558,CG16704,0.14,0,0.16,2.5,6.3,4.52
FBgn0031559,CG3513,0,0,0,0,0.51,0.23
FBgn0031560,CG16713,0.44,0,0,9.39,7.79,5.15
FBgn0031561,IM33,1.18,0.49,1.94,17.14,38.96,25.28
FBgn0031562,CG3604,0,0,0.09,1.45,0.67,0
FBgn0031563,CG10031,0.08,0,0,0.17,0.42,0.49
FBgn0031564,CG2816,0.17,0.12,0.09,2.62,0.7,1.05
FBgn0031566,CG2818,42.68,41.98,46.08,39.26,38.13,33.48
FBgn0031568,CG10019,0.51,0.63,0.55,1.49,1.68,1.73
FBgn0031571,bark,3.47,3.99,3.81,10.44,9.35,6.8
FBgn0031573,CG3407,17.15,17.42,19.31,5.87,7.13,6.05
FBgn0031574,TTLL4B,2.47,2.61,2.43,4.79,5.68,5.4
FBgn0031575,Cep97,27.53,27.26,30.9,10.98,11.97,11.35
FBgn0031579,CG15422,0.06,0.05,0.07,14.68,11.33,18.86
FBgn0031580,CG15423,0,0,0,0.09,0,0.5
FBgn0031585,CG2955,0,0,0,0.05,0,0
FBgn0031589,CG3714,31.63,30.9,32.84,27.25,25.93,23.95
FBgn0031590,CG3702,127.65,127.93,130.61,87.52,93.42,86.91
FBgn0031592,Art2,0.21,0.02,0.07,0.43,0.22,0.19
FBgn0031596,CG15429,0,0,0,0,0,0
FBgn0031597,CG17612,23.53,21.03,24.94,8.5,9.32,7.5
FBgn0031598,Vps53,18.7,18.63,19.73,12.21,12.42,9.89
FBgn0031600,CG3652,67.17,66.06,64.64,59.77,66.39,58.81
FBgn0031601,Dim1,70.99,69.74,71.05,60.93,61.78,63.89
FBgn0031602,CG15431,0.17,0.22,0.21,2.21,1.18,1.18
FBgn0031603,CG15432,26.85,29.07,30.51,43.3,43.83,38.75
FBgn0031604,Elp3,48.12,49.59,48.18,40.1,45.23,42.81
FBgn0031606,CG15439,19.22,20.29,20.88,9.85,10.99,10.12
FBgn0031607,CG15440,20.12,21.12,20.98,32.76,36.29,30.91
FBgn0031608,CG15435,20.89,20.52,21.93,5.37,5.54,5.54
FBgn0031609,CG15443,27.16,25.13,24.18,27.15,26.76,26.12
FBgn0031610,CG15436,22.85,21.75,24.53,9.91,10.63,9.36
FBgn0031611,FIG4,8.94,9.29,8.83,13.29,11.47,12.11
FBgn0031613,HP6,0,0,0,1.29,1.05,1.05
FBgn0031617,CG15635,0,0,0,0,0,0
FBgn0031619,CG3355,0,0,0,0.09,0,0.08
FBgn0031620,CG11929,0,0,0,0.01,0.02,0.12
FBgn0031621,Elba3,0,0,0,0,0,0
FBgn0031622,CG3251,0,0.02,0,0.11,0.13,0.26
FBgn0031623,Taf12L,1.43,0.95,0.6,3.04,2.91,3.73
FBgn0031626,CG15631,0,0,0,0,0,0.02
FBgn0031627,fipi,0.09,0.02,0,0.12,0.16,0.11
FBgn0031628,CG3294,5.5,5.61,6.07,8.15,8.62,7.95
FBgn0031629,Clect27,0.07,0.07,0,0.25,0.59,0.31
FBgn0031630,CG15629,2.03,2.51,1.83,43.87,36.12,43.18
FBgn0031631,CG3225,5.55,5.72,6.84,4.15,4.76,3.45
FBgn0031632,CG15628,0.1,0.13,0.18,0.86,0.73,0.65
FBgn0031633,Fnta,98.9,99.8,90.81,105.97,97.77,108.99
FBgn0031634,Ir25a,0.11,0.04,0.1,0.02,0,0.06
FBgn0031635,tank,16.39,17.68,18.32,19.1,20.07,15.49
FBgn0031636,CG12194,1.5,1.72,1.91,1.04,1.64,1.21
FBgn0031637,mxt,39.52,42.84,44.03,63.12,55.04,58.17
FBgn0031638,CG11927,23.2,22.38,26.74,20.43,22.89,18.9
FBgn0031639,mRpS2,75.35,70.7,69.59,67.13,76.77,69.75
FBgn0031640,Mon1,36.66,36.12,38.63,31.03,31.65,30.82
FBgn0031643,CG3008,32.11,30.51,35.47,44.4,45.74,53.35
FBgn0031644,CG15625,0.03,0,0.04,0.08,0.08,0.29
FBgn0031645,CG3036,15.57,15.08,15.87,18.61,18.3,19.15
FBgn0031646,snsl,1.6,1.89,1.57,4.1,3.53,4.42
FBgn0031649,hoe2,0.01,0.03,0,0.16,0.31,0.42
FBgn0031650,CG14044,0.03,0,0,0.04,0.02,0
FBgn0031651,mRpL24,101.65,93.42,97.28,147.52,141.11,137.38
FBgn0031652,jet,9.48,8.31,8.1,5.59,5.58,5.85
FBgn0031653,Jon25Biii,0,0,0.06,0,0.04,0.72
FBgn0031654,Jon25Bii,0,0,0,0,0,0
FBgn0031655,Marcal1,41.7,40.18,40.51,10.58,11.43,10.59
FBgn0031657,CG3756,39.03,36.83,37.36,69.58,68.77,70.86
FBgn0031659,CG14043,39.01,36.39,44.31,26.33,26.55,25
FBgn0031660,mRpL28,67.96,63.88,68.3,67.22,78.59,67.49
FBgn0031661,Gmd,52.49,48.81,53.63,46.22,44.07,42.16
FBgn0031662,CG3792,92.99,80.76,81.58,69.61,71.24,63.34
FBgn0031663,CG8891,106.29,92.91,102.34,91.94,85.91,94.45
FBgn0031664,CG8892,63.43,64.97,66.53,22.65,25.9,24.65
FBgn0031668,CG31917,47.77,45.53,49.31,40.38,38.44,41.74
FBgn0031670,SelT,131.23,124.55,138.92,162.19,165.18,181.23
FBgn0031673,CG31650,58.08,54.07,66.27,53.24,46.61,45.59
FBgn0031675,CG9121,0.07,0.08,0.07,0.37,0.33,0.27
FBgn0031676,senju,36.28,31.13,30.71,23.62,22.29,18.9
FBgn0031677,CG14036,266.01,265.35,256.33,41.99,38.34,45.89
FBgn0031678,CG31918,3.81,4.07,4.26,16.95,20.21,18.13
FBgn0031681,Pgant5,44.3,45.77,51.84,36.96,36.97,31.77
FBgn0031682,CG5828,60.24,60.86,61.24,13.19,13.75,13.33
FBgn0031683,CG4230,14.57,17.15,17.01,21.71,21.37,18.97
FBgn0031684,ND-13A,143.32,143.8,145.88,160.54,172.85,157.58
FBgn0031688,Cyp28d2,0.15,0.09,0.06,0.47,0.25,0.48
FBgn0031689,Cyp28d1,0.52,0.44,0.15,3.78,3.6,33.7
FBgn0031690,CG7742,0.03,0,0,0.13,0.05,0.03
FBgn0031692,TpnC25D,0.07,0,0.08,0.37,0.26,0.22
FBgn0031693,Cyp4ac1,0.03,0.02,0.03,0.33,0.71,1.29
FBgn0031694,Cyp4ac2,0,0,0,0.13,0.34,0.65
FBgn0031695,Cyp4ac3,0.13,0.04,0.12,2.43,2.57,4.03
FBgn0031696,Bub1,24.44,23.86,28.75,9.92,11.93,9.99
FBgn0031697,CG14024,0.02,0,0.03,0.02,0.1,0.11
FBgn0031698,Ncoa6,16.44,18.15,21.68,8.39,9.88,7.35
FBgn0031700,CG14022,0.22,0,0.08,0.94,0.73,1.07
FBgn0031701,TotM,0,0,0,32.41,3.21,29.07
FBgn0031702,fusl,0.05,0.06,0.04,0.56,0.26,0.21
FBgn0031703,CG12512,17.24,18.55,18.2,17.99,19.49,19.46
FBgn0031707,CG14020,0,0,0,0,0,0
FBgn0031708,CG7382,30.17,29.62,29.67,46.64,46.94,47.3
FBgn0031710,Vps52,30.15,31.43,33.98,19.02,20.71,17.44
FBgn0031711,CG6907,123.73,127.25,128.81,65.39,73.59,64.14
FBgn0031713,CG7277,45.86,45.98,43.82,38.27,41.51,43.34
FBgn0031715,tomb,0.36,0.38,0.76,2.78,2.57,2.89
FBgn0031716,CG14015,0,0,0,0.04,0.05,0.02
FBgn0031717,Oscillin,18.9,19.72,18.85,50.89,41.57,40.73
FBgn0031718,CG14014,0,0,0,0,0,0
FBgn0031719,CG18269,0,0,0,0,0,0
FBgn0031720,CG14013,0,0,0,0,0,0
FBgn0031721,CG14017,0,0,0,0.04,0.08,0.04
FBgn0031722,CG14011,0,0,0,0,0,0.06
FBgn0031723,CG7251,0,0,0,0,0,0.07
FBgn0031724,CG18266,0,0,0,0,0,0.02
FBgn0031725,DIP-eta,0.02,0,0,0,0.03,0
FBgn0031726,Cyp6a16,0.03,0.08,0.06,0.06,0.12,0.17
FBgn0031728,Hsp60C,0,0,0.02,0.44,0.17,0.28
FBgn0031729,CG12511,0,0,0,0.05,0.07,0.05
FBgn0031730,CG7236,0.46,0.43,0.53,0.08,0.09,0.05
FBgn0031731,CG14007,0,0,0,0,0,0
FBgn0031732,CG11149,0.02,0.03,0.05,0.05,0.02,0
FBgn0031733,CG14006,0,0,0,0,0,0
FBgn0031734,CG11147,13.24,16.48,14.24,4.08,3.45,3.36
FBgn0031735,CG11029,0.05,0.07,0.08,0.25,0.13,0.02
FBgn0031736,CG11030,43.8,38.99,41.52,59.76,68.1,64.21
FBgn0031737,obst-E,0.04,0.13,0.19,0.8,1.13,1.13
FBgn0031738,CG9171,21.51,21.47,24.02,17.65,14.06,12.5
